Homology group id,Class,Genome 1,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9
2031507,accessory,1,0,0,0,1,0,0,0,0
2031510,accessory,1,0,0,0,1,0,0,0,0
2031511,accessory,1,0,0,0,1,0,0,0,0
2031513,accessory,1,0,0,0,1,0,0,0,0
2031514,accessory,1,0,0,0,1,0,0,0,0
2031515,accessory,1,0,0,0,1,0,0,0,0
2031516,accessory,1,0,0,0,1,0,0,0,0
2031517,accessory,1,0,0,0,1,0,0,0,0
2031518,accessory,1,0,0,0,1,0,0,0,0
2031519,accessory,1,0,0,0,1,0,0,0,0
2031520,accessory,1,0,0,0,1,0,0,0,0
2031521,accessory,1,0,0,0,1,0,0,0,0
2031522,accessory,1,0,0,0,1,0,0,0,0
2031523,accessory,1,0,0,0,1,0,0,0,0
2031524,accessory,1,0,0,0,1,0,0,0,0
2031525,accessory,1,0,0,0,1,0,0,0,0
2031526,accessory,1,0,0,0,1,0,0,0,0
2031527,accessory,1,0,0,0,1,0,0,0,0
2031528,accessory,1,0,0,0,1,0,0,0,0
2031529,accessory,1,0,0,0,1,0,0,0,0
2031531,accessory,1,0,0,0,1,0,0,0,0
2031532,accessory,1,0,0,1,1,0,0,0,0
2031533,accessory,1,0,0,0,1,0,0,0,0
2031534,accessory,1,0,0,0,1,0,0,0,0
2031535,accessory,1,0,0,0,1,0,0,0,0
2031536,accessory,1,0,0,0,1,0,0,0,0
2031537,accessory,1,0,0,0,1,0,0,0,0
2031541,accessory,1,0,0,0,1,0,0,0,0
2031542,accessory,1,0,0,0,1,0,0,0,0
2031543,accessory,1,0,0,0,1,0,0,0,0
2031544,accessory,1,0,0,0,1,0,0,0,0
2031545,accessory,1,0,0,0,1,0,0,0,0
2031546,accessory,1,0,0,0,1,0,0,0,0
2031547,accessory,1,0,0,0,1,0,0,0,0
2031548,accessory,1,0,0,0,1,0,0,0,0
2031549,accessory,1,0,0,0,1,0,0,0,0
2031550,accessory,1,0,0,0,1,0,0,0,0
2031551,accessory,1,0,0,0,1,0,0,0,0
2031552,accessory,1,0,0,0,1,0,0,0,0
2031554,accessory,1,0,0,0,1,0,0,0,0
2031555,accessory,1,0,0,0,1,0,0,0,0
2031556,accessory,1,0,0,0,1,0,0,0,0
2031557,accessory,1,0,0,0,1,0,0,0,0
2031558,accessory,1,0,0,0,1,0,0,0,0
2031559,accessory,1,0,0,0,1,0,0,0,0
2031560,accessory,1,0,0,0,1,0,0,0,0
2031561,accessory,1,0,0,0,1,0,0,0,0
2031562,accessory,1,0,0,0,1,0,0,0,0
2031563,accessory,1,0,0,0,1,0,0,0,0
2031565,accessory,1,0,0,0,1,0,0,0,0
2031566,accessory,1,0,0,0,1,0,0,0,0
2031567,accessory,1,0,0,0,1,0,0,0,0
2031568,accessory,1,0,0,0,1,0,0,0,0
2031569,accessory,1,0,0,0,1,0,0,0,0
2031570,accessory,1,0,0,0,1,0,0,0,0
2031571,accessory,1,0,0,0,1,0,0,0,0
